round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,reused_connectivity,scanned_connectivity_nodes,min_planarity,checksum
5,baseline,merge,17,10404,20604,500,1.545979,1.389023,2.312163,2.972611,5.929632,1,288,544,10404,0,0,1,5202500
5,current,merge,17,10404,20604,500,1.710303,1.565364,2.847627,3.454274,3.993234,1,288,544,10404,289,0,1,5202500
5,baseline,reject,9,2916,5724,500,0.396111,0.349855,0.615884,0.774762,0.865973,81,0,144,2916,0,0,0.999999,1498500
5,current,reject,9,2916,5724,500,0.433412,0.420859,0.649377,0.802133,0.990887,81,0,144,2916,81,0,0.999999,1498500
5,baseline,reject,17,10404,20604,500,1.733972,1.630796,2.728925,3.318829,4.152872,289,0,544,10404,0,0,0.999999,5346500
5,current,reject,17,10404,20604,500,1.735691,1.674278,2.656388,3.172997,3.768703,289,0,544,10404,289,0,0.999999,5346500
5,baseline,chain,81,2916,5340,500,0.358599,0.334176,0.502271,0.623548,0.839092,27,54,80,2916,0,0,0.329179,1471500
5,current,chain,81,2916,5340,500,0.396047,0.344936,0.581279,0.713076,0.973575,27,54,80,2916,81,0,0.329179,1471500
5,baseline,chain,289,10404,19068,500,1.639444,1.485544,2.71085,3.889199,6.626768,97,192,288,10404,0,0,0.329178,5250500
5,current,chain,289,10404,19068,500,1.475445,1.358306,2.301022,2.816178,3.498155,97,192,288,10404,289,0,0.329178,5250500
5,baseline,dynamic,1,2760,5344,500,0.273587,0.254877,0.383408,0.473828,0.691947,4.15,0.03,0.03,2759.872,0,0,0.624695,1382011
5,current,dynamic,1,2760,5344,500,0.251515,0.231955,0.356718,0.482985,0.939471,4.15,0.03,0.03,2759.872,3.504,679.408,0.624695,1382011
5,baseline,dynamic,4,11040,21376,500,1.308325,1.226969,1.96349,2.512258,3.437652,16.6,0.12,0.12,11039.872,0,0,0.624695,5528236
5,current,dynamic,4,11040,21376,500,1.166833,1.071568,1.733088,2.168263,2.844991,16.6,0.12,0.12,11039.872,14.106,2537.728,0.624695,5528236
